1° bot main heuristic,1° bot mean elapsed time,1° bot win,2° bot main heuristic,2° bot mean elapsed time,2° bot win,Tie,Match elapsed time,Number moves
True,1.88 s,True,False,1.0 s,False,False,26.35 s,17
False,1.49 s,False,True,1.74 s,True,False,51.99 s,34
True,2.93 s,True,False,1.46 s,False,False,55.7 s,27
False,0.82 s,False,True,1.4 s,True,False,11.09 s,12
True,2.98 s,True,False,1.35 s,False,False,42.05 s,21
True,2.35 s,True,False,1.88 s,False,False,27.71 s,15
True,2.54 s,True,False,2.49 s,False,False,32.75 s,15
True,1.4 s,True,False,1.09 s,False,False,13.83 s,13
False,1.06 s,False,True,2.24 s,True,False,26.41 s,18
False,2.09 s,False,True,2.27 s,True,False,21.81 s,12
True,3.96 s,True,False,1.94 s,False,False,57.08 s,21
True,1.98 s,True,False,1.47 s,False,False,19.24 s,13
True,1.66 s,True,False,1.27 s,False,False,10.46 s,9
False,1.54 s,False,True,3.45 s,True,False,44.93 s,20
False,1.36 s,False,True,2.85 s,True,False,33.65 s,18
True,4.9 s,True,False,1.23 s,False,False,139.79 s,47
False,0.83 s,False,True,1.71 s,True,False,12.69 s,12
True,2.67 s,True,False,3.01 s,False,False,36.72 s,15
False,1.38 s,False,True,4.56 s,True,False,53.47 s,20
True,3.88 s,True,False,1.79 s,False,False,66.34 s,25
True,1.22 s,True,False,1.2 s,False,False,13.29 s,13
True,2.22 s,True,False,0.85 s,False,False,23.72 s,17
False,0.9 s,False,True,1.75 s,True,False,15.93 s,14
False,1.65 s,False,True,1.97 s,True,False,25.3 s,16
False,1.19 s,False,True,1.76 s,True,False,17.73 s,14
False,0.89 s,False,True,2.2 s,True,False,12.34 s,10
False,1.3 s,False,True,2.26 s,True,False,14.23 s,10
False,1.49 s,False,True,5.19 s,True,False,46.73 s,16
True,3.62 s,True,False,2.23 s,False,False,56.27 s,21
False,1.63 s,False,True,1.89 s,True,False,28.18 s,18
True,3.29 s,True,False,1.82 s,False,False,28.85 s,13
True,3.29 s,True,False,1.74 s,False,False,23.37 s,11
True,4.18 s,False,False,0.8 s,True,False,54.8 s,24
True,3.13 s,True,False,2.39 s,False,False,41.76 s,17
False,0.58 s,False,True,3.4 s,True,False,47.79 s,26
False,1.15 s,False,True,2.45 s,True,False,18.01 s,12
True,3.01 s,True,False,2.38 s,False,False,24.54 s,11
True,3.59 s,True,False,2.54 s,False,False,34.21 s,13
True,2.58 s,True,False,2.0 s,False,False,62.09 s,29
False,1.23 s,False,True,2.26 s,True,False,20.93 s,14
False,0.99 s,False,True,3.72 s,True,False,51.8 s,24
True,2.3 s,True,False,2.33 s,False,False,34.66 s,17
False,0.96 s,False,True,2.22 s,True,False,15.91 s,12
True,2.23 s,True,False,1.1 s,False,False,25.5 s,17
False,1.14 s,False,True,5.22 s,True,False,95.43 s,32
False,1.64 s,False,True,2.64 s,True,False,55.71 s,28
True,2.85 s,True,False,2.56 s,False,False,67.72 s,27
False,1.41 s,False,True,2.41 s,True,False,19.08 s,12
False,0.57 s,False,True,3.34 s,True,False,46.86 s,26
True,1.54 s,True,False,1.33 s,False,False,10.12 s,9
True,2.87 s,False,False,0.85 s,True,False,40.91 s,24
False,1.17 s,False,True,3.46 s,True,False,60.18 s,28
True,3.77 s,True,False,3.04 s,False,False,44.65 s,15
